# kind	commit	bench	measured	ms
gcc-O0	-	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T08:58:32+00:00	4162
gcc-O1	-	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T08:59:33+00:00	10301
clang-O0	-	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T08:59:48+00:00	2405
clang-O1	-	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:11+00:00	13870
rat-O0	06a663b00fc0ef8963ea6efbcd5315b4c4a519c6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:13+00:00	0
rat-O1	06a663b00fc0ef8963ea6efbcd5315b4c4a519c6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:13+00:00	0
rat-O0	434f2e0fd319c523aa68741fa6e86cbc9719a481	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:15+00:00	0
rat-O1	434f2e0fd319c523aa68741fa6e86cbc9719a481	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:15+00:00	0
rat-O0	7bcb3c0e690305be3f1d35005ad4a3adea16faf4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:18+00:00	0
rat-O1	7bcb3c0e690305be3f1d35005ad4a3adea16faf4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:18+00:00	0
rat-O0	ba9048b36d5538070d3bfd3dcb80fe45124e9eba	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:20+00:00	0
rat-O1	ba9048b36d5538070d3bfd3dcb80fe45124e9eba	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:20+00:00	0
rat-O0	78640d801c568149e7b5b4ca9c9df8bb4a28321e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:22+00:00	0
rat-O1	78640d801c568149e7b5b4ca9c9df8bb4a28321e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:22+00:00	0
rat-O0	8c00e4a9ee2dbeab496dc7ce95d736c64ee452fd	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:35+00:00	0
rat-O1	8c00e4a9ee2dbeab496dc7ce95d736c64ee452fd	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:45+00:00	0
rat-O0	61479767bc69e8b558597835bf49f1c503af7f0c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:01:58+00:00	0
rat-O1	61479767bc69e8b558597835bf49f1c503af7f0c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:02:08+00:00	0
rat-O0	2cea9cc5b2479385d6c9bd723d44229885fb29e7	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:02:21+00:00	0
rat-O1	2cea9cc5b2479385d6c9bd723d44229885fb29e7	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:02:31+00:00	0
rat-O0	489278373cd57ef28c27387a1d49791afc7056c2	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:02:44+00:00	0
rat-O1	489278373cd57ef28c27387a1d49791afc7056c2	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:02:54+00:00	0
rat-O0	c710ba5d6e95c4a68a9c66c14f7ce2abbe506984	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:03:07+00:00	0
rat-O1	c710ba5d6e95c4a68a9c66c14f7ce2abbe506984	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:03:17+00:00	0
rat-O0	349343a7566fa42a510609b183804c46d8a9c468	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:03:30+00:00	0
rat-O1	349343a7566fa42a510609b183804c46d8a9c468	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:03:40+00:00	0
rat-O0	8b4bb15af8da771385cdbd41900e2d7d3d1ef457	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:03:53+00:00	0
rat-O1	8b4bb15af8da771385cdbd41900e2d7d3d1ef457	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:04:02+00:00	0
rat-O0	0c877001ba53164a972886e11cfc7d1aba89f1da	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:04:15+00:00	0
rat-O1	0c877001ba53164a972886e11cfc7d1aba89f1da	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:04:25+00:00	0
